uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.661,95.01
0lYBSQXN6rCTvUZvg9S0lU,0.649,0.716,8,-5.371,0.0349,0.0863,2.63e-05,0.163,99.988
0Cy7wt6IlRfBPHXXjmZbcP,0.489,0.597,5,-6.633,0.0292,0.27,0.0,0.324,95.012
4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
7tbzfR8ZvZzJEzy6v0d6el,0.786,0.667,5,-8.272,0.054,0.0112,0.053,0.688,102.046
2uZWffKoemZDI0gHcBEcDc,0.451,0.692,11,-4.741,0.0398,0.287,0.0,0.423,174.122
5ZsAhuQ24mWHiduaxJqnhW,0.595,0.817,11,-6.187,0.0474,0.000712,0.0386,0.483,144.961
6N5WkgPIDoTdbCXyyIIKAv,0.889,0.341,7,-7.909,0.0424,0.117,3.7e-06,0.942,118.003
0YLSjVxSb5FT1Bo8Tnxr8j,0.678,0.449,4,-9.379,0.0869,0.477,0.0,0.606,100.033
08bNPGLD8AhKpnnERrAc6G,0.626,0.88,9,-2.384,0.0504,0.205,0.0,0.534,95.079
0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,0.0433,0.0166,0.0,0.654,125.983
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.446,103.019
285HeuLxsngjFn4GGegGNm,0.596,0.73,9,-4.091,0.151,0.24,0.0,0.525,85.979
64p6ua7zpf66s62StC2QLv,0.644,0.892,0,-1.1,0.0567,0.13,0.000113,0.767,180.044
6hHKmuoTP4S9Gqf6T8qUFb,0.687,0.717,11,-6.61,0.0755,0.0744,0.0,0.685,88.063
1eqNj2KekcQ8GKWoW4yFr6,0.489,0.752,2,-5.422,0.0372,0.665,0.000669,0.179,192.133
5ktc8d1y2Gd0ug5OpNm6Ia,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
1Hpe0TFPOMCqxBAFqenaJ6,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
7vv8wSGmc8Qm8o1qrgTEq1,0.601,0.713,4,-3.758,0.0449,0.0282,0.0,0.464,122.872
7oS2EnBWSHxzR2m6CxNJYA,0.601,0.713,4,-3.758,0.0449,0.0282,0.0,0.464,122.872
3QBOSFnhe6GrJKAOrm9Hij,0.601,0.713,4,-3.758,0.0449,0.0282,0.0,0.464,122.872
5oLrJ9cTOkFWy9KMBUVfUW,0.687,0.717,11,-6.61,0.0755,0.0744,0.0,0.685,88.063
4POYhha0J5c7XOTuR9OHFK,0.456,0.802,7,-7.173,0.096,0.00266,0.374,0.0616,116.222
5zhGrRhCaPF4LiSq5uv7nd,0.692,0.883,7,-4.698,0.0582,0.0512,0.0,0.614,122.984
7uSSIUaQ14Vf7KQGDQ38gR,0.869,0.726,11,-5.654,0.0459,0.0784,0.0,0.343,124.023
0kdIImE10HocARiLPkJmQ1,0.601,0.713,4,-3.758,0.0449,0.0282,0.0,0.464,122.872
6arE1lr4B2jsrWP1GBIkYH,0.692,0.883,7,-4.698,0.0582,0.0512,0.0,0.614,122.984
4F9mATfUA9J8t7oQ9COCcQ,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
44KQ5sErX0T8pQEjqylVEL,0.601,0.713,4,-3.758,0.0449,0.0282,0.0,0.464,122.872
1LwvwPLqODXkdiInwHvKxG,0.692,0.883,7,-4.698,0.0582,0.0512,0.0,0.614,122.984
2pkszGajFAOt6vJQGwRFOi,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
3hTS0dFgLus7rechtNe8pP,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
5ISBiJcO6lfpOLqE1zzGVC,0.869,0.726,11,-5.654,0.0459,0.0784,0.0,0.343,124.023
5UsPHCjVvPx2GHtpmIebvu,0.59,0.8,1,-5.044,0.0441,0.000653,0.905,0.21,127.996
