uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
7DbdUf8aHSYoliSjO6LZv6,0.572,0.839,4,-5.083,0.0377,0.013,0.00976,0.465,143.969
5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0.0256,0.136,0.022,0.479,67.528
1rDjwexewf4hrdZT7SRNsH,0.78,0.46,6,-7.516,0.0851,0.455,0.000141,0.788,124.007
5iFwAOB2TFkPJk8sMlxP8g,0.606,0.799,9,-4.452,0.0261,0.0128,0.0,0.638,103.014
1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.288,167.997
0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0.128,0.0622,0.0,0.666,124.949
0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0.046,0.0206,0.0,0.571,114.071
3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0.0504,0.127,0.0,0.589,134.002
68EkhVWIeULhHxcbi1QhzK,0.68,0.697,5,-7.01,0.0484,0.121,0.0,0.684,116.033
6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,10,-5.021,0.0311,0.0362,0.0,0.556,134.945
5qaEfEh1AtSdrdrByCP7qR,0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.428,89.938
2RSHsoi04658QL5xgQVov3,0.383,0.637,3,-6.993,0.0703,0.0722,0.0,0.0827,177.913
3ro6Oub0I05PiAxcZFKaTY,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.825,139.994
2DgdHcjWmO3qd50RzuBLgZ,0.506,0.817,11,-5.051,0.0335,0.00272,0.0,0.506,109.952
1HKCK9ZJfzCLVzpWJ2Aj9G,0.773,0.742,5,-3.678,0.046,0.0206,0.0,0.571,114.071
1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0.266,0.237,0.0,0.555,77.011
5Pl7IrRjL0O3mmclPQlpWh,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
2aeoP0ljsjIzlG0wfnYVKZ,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
0Dm4JS6pIFChNqk7ScUbHe,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
7KajXhT7csT80wZXs2skAp,0.625,0.562,0,-5.828,0.0289,0.149,1.67e-05,0.229,93.998
4jpImWrX1hDIHHkVL9qpeu,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
1skWrgJrEi6ZB4Wt5tYYAb,0.542,0.732,9,-5.956,0.0521,0.00209,7.92e-05,0.489,124.912
0JsoJERs3b1uSP13eegLPP,0.766,0.775,10,-4.267,0.141,0.0504,0.0,0.695,124.751
2cCmvbLleZaXRUinMmRaoY,0.636,0.708,6,-7.057,0.0512,0.0818,0.0,0.662,94.987
66X1ngv1jd8ll1qj6A6BJq,0.262,0.677,7,-5.645,0.0528,0.447,0.0,0.365,207.478
1HWaIZ9Tf67sTXOhyiUuon,0.611,0.61,4,-6.745,0.0314,0.0186,0.0,0.242,123.943
7qj4VbHEt4L11MZlndTQ5V,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
5fWiSyp3hxz3R8puaPwJAK,0.5,0.71,3,-3.015,0.0339,0.19,0.00025,0.419,89.929
5ydMCvT5Wg5PFKWB5phKZe,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
6YMF5fKgkbYXECM9XiDfnE,0.601,0.824,0,-4.757,0.0474,0.00866,0.173,0.246,167.965
4Qhrm7g3QItkvInW5zgvaV,0.639,0.805,4,-5.961,0.032,0.0383,0.00244,0.507,103.451
