uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0.105,0.41,0.0499,0.585,95.818
1AM8QdDFZMq6SrrqUnuQ9P,0.535,0.548,1,-6.51,0.037,0.533,1.48e-06,0.477,115.144
2ajUl8lBLAXOXNpG4NEPMz,0.713,0.639,2,-5.529,0.0313,0.753,0.0,0.737,125.959
1ChcgTQZdf9ngSgZ9dmILP,0.669,0.509,9,-8.594,0.0277,0.493,0.000268,0.376,114.969
57rnZ6f2YgQW0iw2kT12Kt,0.535,0.547,1,-6.51,0.037,0.533,1.49e-06,0.477,115.146
5P7RUK1ibNNyuaGoXgs4W6,0.649,0.466,7,-8.308,0.0428,0.865,0.0,0.699,151.251
1G21erc1ygVSJDvadnWfRX,0.644,0.427,9,-9.196,0.0391,0.778,9.51e-05,0.577,116.042
1rj9l40X83Ju0I0hdCjOL1,0.649,0.466,7,-8.308,0.0428,0.865,0.0,0.699,151.251
2VSdj9iXoaPojkSMKp2gXI,0.36,0.381,1,-8.666,0.0488,0.59,5.1e-05,0.346,198.154
1uWxXVpl4ZXFT7d6CH7LBS,0.492,0.791,11,-5.045,0.0703,0.00816,1.87e-05,0.585,144.363
2lN6zxaP5KYQHKSAh7nWBs,0.492,0.791,11,-5.045,0.0703,0.00816,1.87e-05,0.585,144.363
4DwWLKys3e3SRuJovxX7hz,0.335,0.232,4,-11.042,0.0334,0.908,8.89e-06,0.381,93.391
5mXkwFSEKXMDikxK6x6lDv,0.693,0.257,6,-7.785,0.0356,0.869,0.0,0.603,90.014
0Gjsi7CQFsZJUIUKQIxYQP,0.335,0.232,4,-11.042,0.0334,0.908,8.89e-06,0.381,93.391
2A5eNt3Iso3DUkXuLvS6iB,0.335,0.232,4,-11.042,0.0334,0.908,8.89e-06,0.381,93.391
1rw6CYYHLFBISRtZxYP8sh,0.335,0.232,4,-11.042,0.0334,0.908,8.89e-06,0.381,93.391
