uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,4,-7.636,0.0539,0.451,1.35e-06,0.202,104.949
5JtvedSVWW9McnoEAPJwQm,0.857,0.427,8,-8.638,0.112,0.281,0.0,0.366,130.033
3SdTKo2uVsxFblQjpScoHy,0.65,0.306,9,-9.443,0.0393,0.57,7.07e-06,0.605,118.068
2DpJ9T2RVRanZcYFHKOAfA,0.547,0.335,4,-9.2,0.0307,0.747,0.0,0.474,115.838
0RLLvYBopDwooCyvnTwgYu,0.567,0.515,6,-10.265,0.247,0.354,0.0,0.321,120.1
1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,0.121,0.159,0.0,0.407,143.049
4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,6,-5.865,0.187,0.492,0.0,0.638,80.511
6EbVuwU7EnKeF2hdpViXCH,0.808,0.582,11,-6.26,0.338,0.827,0.0,0.675,77.471
2BJWxD8xKrDv8vneTvTIm9,0.498,0.625,8,-7.452,0.342,0.054,0.0,0.478,84.821
29d0nY7TzCoi22XBqDQkiP,0.625,0.533,10,-11.903,0.0596,0.659,0.00266,0.139,108.296
1dg3qy5DjoJodawfOCgrTP,0.88,0.575,6,-6.091,0.163,0.415,0.0,0.671,120.031
2D3moQIIadQ0sQDNQej6Ko,0.766,0.39,10,-9.57,0.106,0.642,1.36e-06,0.462,95.038
1gqcQWdsH5d141QcxotwfG,0.696,0.462,0,-9.152,0.036,0.695,2.47e-05,0.526,124.377
60ZsEbpgTbWUPvdDosRU42,0.694,0.466,0,-9.315,0.0374,0.715,1.81e-05,0.574,124.38
66jXAvW3OHqpeEnHDhOUKY,0.696,0.462,0,-9.152,0.036,0.695,2.47e-05,0.526,124.377
3JRi5bymnIQ2fhIetoOm3r,0.568,0.94,4,-6.414,0.0402,0.0366,0.00314,0.738,114.873
6avU5EHB4NNLv9RItX9pEb,0.696,0.462,0,-9.152,0.036,0.695,2.47e-05,0.526,124.377
0jSlCQQ0XiIo0XcX7VTrb3,0.562,0.512,2,-6.443,0.0239,0.109,0.0,0.189,142.4
2QGuFhaQDrGKqtkOgItDJS,0.632,0.866,1,-5.445,0.0488,0.0556,5.75e-06,0.835,87.785
0Qo6ENwrR9bj9nKWEuNslx,0.47,0.439,8,-8.892,0.0322,0.741,1.64e-05,0.287,108.037
3jVoxrwRPJihoYZVhSS5Ta,0.569,0.443,7,-8.402,0.0327,0.461,0.0,0.15,75.038
3OiUOulzZiEfaADvJNR7wa,0.703,0.225,4,-11.366,0.0511,0.731,4.59e-06,0.399,143.248
2vtGCoqTS1yUfxq9YxKyKq,0.752,0.92,2,-6.111,0.0649,0.0148,2.03e-05,0.744,114.16
