uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.337,85.012
09gysnJpfQ3ublBmJDfcEC,0.87,0.523,1,-8.052,0.0602,0.433,2.07e-05,0.319,110.02
2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0.03,0.0484,0.000417,0.37,93.986
2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.398,124.053
4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,0.0493,0.299,0.0,0.415,121.932
07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,0.0299,0.0153,0.000193,0.399,94.995
60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.4,105.143
2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,0.0381,0.0046,0.0,0.243,110.018
7BoobGhD4x5K96Me0hqC8Q,0.855,0.463,3,-7.454,0.0367,0.217,1.77e-05,0.866,102.931
0eu4C55hL6x29mmeAjytzC,0.7,0.49,0,-5.187,0.076,0.186,0.0,0.569,79.982
6bTbMMEShyGyrcuIwtBlpA,0.729,0.551,0,-6.935,0.056,0.598,0.0,0.312,124.044
6rrKbzJGGDlSZgLphopS49,0.485,0.843,1,-3.993,0.0467,0.00129,1.01e-05,0.602,78.001
0AUyNF6iFxMNQsNx2nhtrw,0.51,0.882,8,-5.659,0.159,0.00158,0.00206,0.653,154.029
6CqHve8qCxKzEd3ciOy6xj,0.568,0.934,9,-4.428,0.107,0.000885,0.0297,0.319,137.005
75fT19n6ZQHr67Mkh86qfD,0.573,0.913,5,-6.52,0.0409,0.00861,0.0273,0.795,88.418
6syz0SJTv8ZNCNxaOnvMtb,0.663,0.694,10,-8.627,0.171,0.0253,0.0,0.525,167.953
1tRpraJDpEUl0HjnkMosqx,0.417,0.682,1,-5.071,0.0295,0.0267,0.000669,0.351,105.542
2AEdT2ZKd14kzOouzdNOUj,0.592,0.765,9,-2.788,0.027,0.0021,0.00154,0.327,96.483
23PvWFdi76vER4p1e2Xroj,0.344,0.931,1,-3.759,0.0783,0.00104,0.0,0.251,148.104
5xUhs6dlfkcxZM8zq7riYF,0.417,0.682,1,-5.071,0.0295,0.0267,0.000669,0.351,105.542
62pennq1pcVBFVW1b1CrFu,0.386,0.936,8,-4.005,0.0701,0.0121,1.6e-05,0.418,176.366
1yZWmKmLfTrFCxHvhFsdoN,0.499,0.223,9,-15.253,0.0338,0.912,0.0,0.304,129.291
0v8tmDMQrTMavluubqAJo4,0.476,0.979,4,-3.504,0.133,0.00142,0.00686,0.394,140.408
2UCoAOZGk6a4BHUBzlvfAO,0.64,0.821,7,-5.789,0.0732,0.00122,0.145,0.624,135.478
5SVYqPYpje5JDG2O969oz6,0.532,0.872,0,-3.869,0.0636,0.00223,0.0,0.299,127.959
12cG3BUpk6PzLAzWK0mryO,0.441,0.986,0,-2.466,0.116,0.038,0.000781,0.184,123.974
34ldTowcv56E2DqtSaYBjP,0.441,0.976,8,-3.09,0.147,0.000335,0.0475,0.248,130.411
6QvYmrqFKRSVrcVgvoA7Ar,0.573,0.913,5,-6.52,0.0409,0.00861,0.0273,0.795,88.418
