uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
7wrYBASu0OoxoDErd4Edxd,0.643,0.268,11,-15.073,0.09,0.593,2.06e-06,0.62,143.813
72HdutlIHBZJ7WT1xVAAZT,0.484,0.898,0,-4.132,0.164,0.365,0.0,0.68,91.975
7JGgKHHDgJCJkQCQxyHHdl,0.608,0.638,11,-6.008,0.0292,0.581,0.0172,0.439,140.109
3YRj4jmwois2ctPnhwSwFo,0.695,0.293,11,-16.278,0.0431,0.596,0.0158,0.637,143.804
3tp3ij9dtY3CacQgd1OvRf,0.583,0.308,7,-18.303,0.0465,0.581,0.0106,0.241,118.226
4Q7Q9bmbY5Lo7YamHngO4O,0.643,0.268,11,-15.073,0.09,0.593,2.06e-06,0.62,143.813
6APAPsBCutqTFJ9OFTbeCa,0.642,0.562,9,-9.304,0.0607,0.584,0.0,0.671,149.82
3dWXi0xNXqtBEjjbxwVbua,0.23,0.206,0,-13.594,0.0348,0.965,0.856,0.134,139.114
1z0oJ3x3Fb2BWJKRF8HNhx,0.496,0.186,9,-19.857,0.0418,0.992,0.944,0.585,79.334
2nfL62mzeFMzhGZ1YHWGeU,0.355,0.215,9,-18.632,0.0465,0.987,0.957,0.65,80.606
7FRZcqaSZntnHEmmN9RoSY,0.372,0.0273,2,-33.32,0.0409,0.993,0.924,0.157,115.872
7h0UfUzNPve7ZKz2Bbwf1I,0.175,0.0578,2,-20.568,0.0422,0.913,0.895,0.0395,68.005
4crcsWIqJfKIRuLVwsBbts,0.634,0.124,7,-19.991,0.113,0.989,0.944,0.769,81.842
2wQriMWlY1LiuAAw64Td3y,0.0769,0.0846,2,-25.997,0.045,0.922,0.929,0.0586,176.329
3uoVlnV2ocLYuKfTBJ2n8A,0.278,0.123,2,-23.707,0.0422,0.993,0.739,0.511,78.59
4gj2XS6vLhDBuiduScHjRX,0.372,0.0413,0,-31.531,0.0339,0.995,0.845,0.445,170.196
1SvJGlTN6dkeLVNG0L0N3L,0.175,0.12,4,-22.495,0.0452,0.988,0.0456,0.0717,64.424
0MtRspmmNTRJa4Ebd2AMuN,0.499,0.059,7,-20.969,0.0546,0.995,0.89,0.171,82.472
6OG6Ua0DAqKQ4oHC5PQX0n,0.349,0.139,9,-19.982,0.0347,0.992,0.898,0.342,134.946
1HHtdxeTBu9s79KaUZn5dQ,0.177,0.0601,0,-21.942,0.0405,0.987,0.894,0.0543,81.807
0ZNZQaiqvyrNYDrcZLMvLk,0.403,0.196,3,-20.749,0.049,0.993,0.884,0.548,99.506
2cWpSFmaEO4N03Vhb12P0J,0.233,0.113,5,-15.57,0.0418,0.994,0.873,0.0718,71.781
5LpADD2axDBVmy9dGoUyxQ,0.478,0.311,9,-13.227,0.0357,0.899,0.107,0.667,121.83
2faaO5zn4XlmyiNM4VFy8g,0.389,0.212,2,-16.434,0.0359,0.961,0.914,0.339,77.016
3mCrcsHhchjnu5Eph2X0qM,0.314,0.0401,9,-29.715,0.0583,0.994,0.903,0.386,170.693
5rxdmYi9c3x86gm1OiRwjP,0.499,0.059,7,-20.969,0.0546,0.995,0.89,0.171,82.472
0HOrX3f1vhUpn5hknKAM9W,0.343,0.243,11,-15.404,0.0578,0.943,0.0,0.417,73.48
55DJrqFrvuDb29S2InYklj,0.548,0.216,2,-9.873,0.0354,0.995,0.954,0.204,62.857
4f5ric0iKfsjcxtAr0BFfG,0.261,0.0201,3,-25.726,0.039,0.99,0.895,0.0913,139.811
6wCuzEmbutYE66FzFTmIsd,0.548,0.216,2,-9.873,0.0354,0.995,0.954,0.204,62.857
2FJkpN3sxwtlTbjfzKGZlX,0.0923,0.0744,10,-23.757,0.0479,0.651,0.000237,0.0823,175.873
0o30XkI520zpdZIeSRaSXr,0.522,0.215,11,-21.148,0.0655,0.992,0.912,0.934,103.767
0wfvJwWZ1ju6C6ieGQI9hW,0.232,0.0142,0,-24.701,0.0308,0.996,0.867,0.255,95.139
0mgemjoFwLPN0VZzFfEBN8,0.499,0.059,7,-20.969,0.0546,0.995,0.89,0.171,82.472
18fjez7hjQ13XLSRqgtven,0.0965,0.2,10,-16.97,0.0393,0.967,0.958,0.238,78.351
2VZtXhjdZE6etfcXIKt7FB,0.233,0.113,5,-15.57,0.0418,0.994,0.873,0.0718,71.781
20uRKbaqAVJRGyGE6mr6Oi,0.169,0.049,2,-23.409,0.0385,0.956,0.017,0.0799,136.065
77xqVXjAVWLHeyMaXdiZcC,0.145,0.135,7,-16.841,0.0429,0.978,0.971,0.0535,77.975
0XGoyjSeijvknIjO2E0QmR,0.129,0.169,7,-19.892,0.0408,0.916,0.942,0.0541,52.153
0eS2jQVzLptiDcHEV1N9wC,0.158,0.00972,6,-32.888,0.0463,0.949,0.137,0.0572,138.062
7w9YfF8mfQftxhm3JKcLlv,0.513,0.296,7,-15.81,0.0496,0.99,0.803,0.804,84.367
1gHJ8Y9xdcOPfg5tyBIL40,0.499,0.059,7,-20.969,0.0546,0.995,0.89,0.171,82.472
4pVe1RoexcnBcIJBErd4SH,0.145,0.135,7,-16.841,0.0429,0.978,0.971,0.0535,77.975
5mwJeX3MET7i33fC0rXsHy,0.164,0.167,0,-17.032,0.044,0.594,0.368,0.154,87.069
2LDAWHRNm2W3DJOKuZqa2j,0.275,0.0658,7,-21.914,0.0496,0.972,0.911,0.511,92.692
49Zh9bgUz7SQ00D3vQuBU4,0.158,0.00972,6,-32.888,0.0463,0.949,0.137,0.0572,138.062
5vFFMf3on3rtVu46VDQJ1T,0.232,0.0142,0,-24.701,0.0308,0.996,0.867,0.255,95.139
3FRKJyEazxmrH3Ez8FFUIx,0.499,0.327,1,-16.66,0.0382,0.937,0.161,0.43,134.882
6VaZ84jVkpCXUf5IFXcW2K,0.138,0.173,7,-17.603,0.0371,0.955,0.928,0.159,100.657
3hyLdoIjuv5JV0MyE4GQkg,0.138,0.173,7,-17.603,0.0371,0.955,0.928,0.159,100.657
1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,0.0376,0.934,0.961,0.036,92.468
0zqWV67DuqFzLXiLJsAk9Z,0.445,0.328,2,-14.203,0.0281,0.846,0.866,0.175,99.989
5E0ae8cM2HQPvNaQMRpQeI,0.331,0.00735,4,-30.904,0.0362,0.991,0.952,0.0944,66.628
5G0EAfi4qeZ3KtpmCgcRq2,0.251,0.17,2,-19.5,0.0379,0.912,0.843,0.0682,97.202
7qIiirN1hw76BVUA9OfMbx,0.246,0.144,0,-23.904,0.0456,0.994,0.902,0.0558,66.196
3Sp0aNnZVecWYdQgMyFP53,0.389,0.126,1,-23.669,0.0386,0.991,0.883,0.467,123.993
7912uajUZlyQzOrleKHBe1,0.243,0.13,6,-21.937,0.0406,0.983,0.000121,0.127,102.702
