uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1aL9518P5G72N92b48tuKw,0.86,0.541,1,-6.51,0.0325,0.165,0.163,0.952,114.984
08Isz2ETWSBhvIl8UpKYsp,0.768,0.487,4,-8.936,0.0431,0.24,0.0,0.722,137.034
42TMa2hgBNjte4uV7jNCnQ,0.711,0.702,5,-10.048,0.233,0.00487,0.0163,0.674,180.219
3UhmuWcFaLS3AO3kI9ynQ2,0.796,0.572,8,-7.03,0.0545,0.416,2.55e-05,0.304,98.967
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,0.0483,0.0383,0.0,0.478,169.928
3wz2vWhYnnBoFmgMkqtzLy,0.847,0.558,8,-5.855,0.0663,0.325,0.0,0.495,98.062
7AsG1F1eMWd17RYan8M3Wm,0.811,0.655,1,-7.118,0.0353,0.0947,1.63e-06,0.925,117.979
7IK26RNUdgoZWJdlarrcty,0.723,0.456,4,-7.679,0.0359,0.137,2.95e-05,0.0383,101.139
2AilvPt1AQ8PixlCKqkjfj,0.828,0.533,6,-5.779,0.091,0.214,2.8e-05,0.605,93.021
32FVH23yFXr8Z0sfjRw4It,0.761,0.554,1,-8.119,0.0854,0.193,0.00844,0.555,92.52
29m79w9xPMH4YCD6r8JSmV,0.837,0.717,5,-7.749,0.0822,0.0842,0.0,0.494,94.984
6ZYxNjuAU9Vy3VtF6W1dtE,0.82,0.504,4,-9.113,0.141,0.261,7e-06,0.275,85.016
5RrOyaV2xOAnf62uWj24dB,0.918,0.673,0,-5.084,0.184,0.314,0.0,0.828,99.952
2uThc9fZx2BEL3t6uuRMO1,0.737,0.613,1,-7.304,0.358,0.316,1.26e-06,0.493,170.14
70wFZWY6cKFxp3Qcq8uxH4,0.748,0.472,0,-9.266,0.125,0.596,1.1e-05,0.364,149.97
2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0.0603,0.661,0.000331,0.225,146.04
58f4twRnbZOOVUhMUpplJ4,0.854,0.611,8,-6.26,0.0864,0.223,0.0,0.417,100.024
3sqRODOZ1Z6hR4F2tnFAlg,0.706,0.674,9,-5.932,0.044,0.3,0.0,0.359,83.001
6XPmY4hIb1RGRyNuq0UBsl,0.622,0.431,11,-8.26,0.0293,0.0955,0.0,0.365,117.919
6TClJ8jXi3OBV7gcrU3jx5,0.692,0.488,7,-10.96,0.135,0.0508,0.0,0.299,171.9
1W1dS4VnIrYnllQJ3CAcZy,0.538,0.763,11,-6.346,0.205,0.0152,0.0,0.484,180.002
0a6zRnrjmaOcqsEIFkXIhw,0.662,0.661,0,-5.689,0.0514,0.417,0.0,0.222,80.009
