uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.334,171.005
3yV2c3cYhkAwSsxAq6nRiv,0.535,0.765,1,-7.862,0.0444,0.054,0.0,0.373,191.827
5IgjP7X4th6nMNDh4akUHb,0.733,0.69,9,-5.529,0.0427,0.0635,1.18e-06,0.31,116.992
7MXVkk9YMctZqd1Srtv4MB,0.679,0.587,7,-7.015,0.276,0.141,6.35e-06,0.486,186.003
2l3dFxtoSMgMQVyRIUHjpz,0.724,0.618,2,-9.007,0.0534,0.0533,0.704,0.0683,100.021
6zAvNLJkdyRApUHnlJjKfO,0.662,0.4,2,-11.2,0.0548,0.735,1.65e-05,0.617,79.972
32LKwbmh6yVsWoRRF8DIvf,0.772,0.649,2,-6.411,0.143,0.0724,0.0,0.824,90.072
3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.531,80.87
58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0.0467,0.0228,0.0,0.0899,185.727
5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,0.0353,0.859,0.0,0.37,120.001
2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,0.0259,0.0157,0.0,0.454,116.959
3mZLiEDAHIjZ8ms5Lxq33F,0.663,0.478,4,-7.265,0.185,0.095,0.0,0.341,85.264
2eTkxblLeqdTSsb2ivafDX,0.43,0.612,10,-5.534,0.0392,0.432,2.29e-06,0.241,85.959
4PwTeFfKqmR3XIeXXUBDOf,0.63,0.739,0,-3.942,0.0248,0.194,0.0,0.224,109.985
1iZLpuGMr4tn1F5bZu32Kb,0.795,0.67,1,-5.313,0.143,0.269,0.0,0.643,100.004
0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.168,95.05
0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,0.0324,0.619,1.32e-05,0.719,101.058
3ZGJhN4unVspOqpwGvUL2W,0.789,0.744,1,-7.245,0.0414,0.281,0.0,0.783,143.998
0ojpEubhy4JNeVftmVuiN7,0.607,0.713,4,-5.105,0.03,0.56,4.98e-05,0.611,124.868
2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0.0318,0.74,0.0,0.483,150.073
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.931,95.977
7eNSk0grNnO7MqjLZzs6MM,0.516,0.481,0,-9.234,0.0433,0.819,2.87e-06,0.212,138.997
58ynJq9eLLDChA3GNFJcDL,0.676,0.696,9,-6.68,0.0452,0.666,0.0,0.606,94.945
7oN0Wo7sCVvXPdpxoio3JM,0.464,0.491,7,-7.039,0.0392,0.837,1.39e-06,0.106,76.739
