uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
6VGegSWgCabRxOCTQ0lSiX,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
3LaQzvfIetBWdtIV0JoBwF,0.825,0.807,6,-5.753,0.095,0.0741,4.79e-06,0.816,103.053
3r6f5UcqFtoAIAVuTMvy4v,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
38cCzX3jpZhctBx6CHA9PG,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
4X7XP4r6XpJSegnMeHZsEN,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
1LCHT9cYsrMSuOZ3occVg0,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
7Lf5l4hbjlZIV6iQ3nR0YV,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
08jXpbmBrMtXXAtXlHgsHh,0.865,0.573,5,-5.501,0.0678,0.0863,0.0,0.563,94.999
0jcnKiHDwgcgBUokWDckX9,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
709mEkXJxSopnAmOnRJGRr,0.709,0.56,4,-4.867,0.171,0.034,0.0,0.541,170.082
6aGP0AAF8iLyoGdLRpuVoZ,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
3g3GUoGsjciY5ZuV2j73qm,0.639,0.791,10,-4.443,0.254,0.0275,0.0,0.933,92.603
7708qrA9gHIrwuVf6QdjAH,0.728,0.68,8,-4.129,0.165,0.0865,1.06e-06,0.704,179.839
20JTNRnNUJL75tSJmtg2ZY,0.924,0.723,8,-3.142,0.0466,0.0177,2.61e-05,0.643,126.998
5UAGqaLsYS9EgPJz0WvrB1,0.741,0.582,8,-4.445,0.281,0.291,0.000101,0.713,186.096
1oANw3YJXR9hr7n3vwIu2e,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
14MRXBE5YZoB8HRWf9Zn0I,0.855,0.638,5,-5.925,0.106,0.275,0.000259,0.641,81.988
7kJAJJWRFRn1kmqC2zlKim,0.736,0.569,8,-3.559,0.0779,0.144,5.27e-05,0.433,171.973
2DyVUB1hwY3DCnvteT9Tuj,0.755,0.844,5,-6.234,0.326,0.328,8.8e-06,0.745,171.867
