uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,0.0259,0.153,0.0,0.43,89.991
6AHJTA1BN7ePfChCwqph3z,0.52,0.751,5,-5.064,0.0551,0.171,7.4e-06,0.519,156.044
5eUtyONoPyfZYGrFHmZzlc,0.59,0.389,2,-9.245,0.0387,0.411,1.48e-06,0.389,166.055
1e3QZ42GsP8cTy5uQ0G7J3,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
5Vnx0s7H73V3l6qPWvbHIM,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
0aEPP6wdKf2uBYEz72gnAe,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
1Op9SWtCrRGmax5BjNehes,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
3IMghNhZWUZ2S1PjXK7zBd,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
0VFF0uBG8KYutpiF4C8DA0,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
43WFp6WBAvNgc7iaFFEUJp,0.644,0.904,2,-4.532,0.0464,0.0295,0.0,0.672,105.969
3FOLF9tK1usNKU5EriOv4G,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
1B3WNcUnRMZvJ9YPVYmW7u,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
16LAkUOZbmqdHgicUsHY1S,0.464,0.755,4,-5.707,0.0354,0.00838,0.0,0.449,155.973
0DgoQwJjr6oM5vFIRtFJNu,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
3PoUfHaM3PVrqDXhKUqPW2,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
6rfDtM5aHbsaLGAUxfIgpN,0.493,0.931,1,-2.99,0.041,0.0838,0.0,0.556,141.979
24NRxtqD6oySjRnAZxa4Hf,0.544,0.573,8,-5.694,0.0356,0.0958,0.0,0.233,122.977
4F2xA29Ea6dt4Nw0yiztvT,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.148,175.212
